Year,Total Industry,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services",Other services (except government and government enterprises),Federal civilian,Military,State and local
2000,10.25,0.1,0.11,0.18,0.46,1.55,0.62,0.69,0.31,0.47,1.97,1.11,0.7,0.39,0.28,0.25,0.18,0.9
2001,10.58,0.1,0.12,0.18,0.49,1.47,0.61,0.71,0.31,0.5,2.13,1.16,0.75,0.39,0.27,0.25,0.18,0.96
2002,10.94,0.1,0.11,0.18,0.49,1.47,0.61,0.73,0.31,0.55,2.22,1.19,0.81,0.41,0.28,0.27,0.19,1.01
2003,11.46,0.11,0.14,0.18,0.53,1.52,0.64,0.77,0.32,0.56,2.3,1.25,0.86,0.43,0.28,0.28,0.21,1.05
2004,12.21,0.14,0.17,0.2,0.58,1.61,0.7,0.8,0.35,0.62,2.39,1.34,0.93,0.46,0.3,0.3,0.23,1.11
2005,13.04,0.13,0.23,0.2,0.65,1.69,0.75,0.84,0.38,0.64,2.61,1.45,0.97,0.48,0.31,0.31,0.24,1.16
2006,13.81,0.13,0.27,0.23,0.7,1.79,0.81,0.87,0.41,0.65,2.74,1.55,1.04,0.51,0.33,0.32,0.25,1.22
2007,14.45,0.14,0.31,0.23,0.72,1.84,0.86,0.87,0.41,0.71,2.85,1.67,1.09,0.53,0.33,0.33,0.27,1.29
2008,14.71,0.15,0.39,0.24,0.65,1.8,0.88,0.85,0.43,0.74,2.76,1.78,1.18,0.54,0.33,0.35,0.29,1.35
2009,14.45,0.13,0.28,0.26,0.57,1.7,0.83,0.83,0.4,0.72,2.87,1.69,1.27,0.53,0.33,0.36,0.3,1.38
2010,14.99,0.15,0.31,0.28,0.53,1.8,0.89,0.85,0.43,0.75,2.94,1.77,1.31,0.56,0.33,0.38,0.31,1.41
2011,15.54,0.18,0.36,0.29,0.52,1.87,0.93,0.87,0.45,0.76,3.05,1.86,1.35,0.58,0.33,0.39,0.32,1.42
2012,16.2,0.18,0.36,0.28,0.55,1.93,1,0.91,0.47,0.76,3.26,1.96,1.41,0.62,0.35,0.39,0.32,1.45
2013,16.78,0.22,0.39,0.29,0.59,1.99,1.04,0.95,0.49,0.83,3.32,2.02,1.45,0.65,0.36,0.39,0.32,1.51
2014,17.52,0.2,0.41,0.3,0.64,2.05,1.09,0.97,0.52,0.84,3.55,2.12,1.49,0.69,0.38,0.4,0.31,1.56
2015,18.22,0.18,0.26,0.3,0.69,2.12,1.14,1.02,0.56,0.92,3.75,2.23,1.56,0.74,0.39,0.42,0.31,1.61
2016,18.71,0.16,0.22,0.3,0.75,2.09,1.14,1.05,0.58,1,3.93,2.3,1.64,0.77,0.4,0.44,0.31,1.64
